Date,IsWeekend,Season,DayType
2024-01-01,No,Winter,Normal
2024-01-02,No,Winter,Holiday
2024-01-03,No,Winter,Normal
2024-01-04,No,Winter,Holiday
2024-01-05,No,Spring,Normal
2024-01-06,Yes,Winter,Normal
2024-01-07,Yes,Spring,Normal
2024-01-08,No,Spring,Normal
2024-01-09,No,Spring,Holiday
2024-01-10,No,Winter,Normal
2024-01-11,No,Winter,Normal
2024-01-12,No,Spring,Holiday
2024-01-13,Yes,Spring,Festival
2024-01-14,Yes,Spring,Normal
2024-01-15,No,Spring,Normal
2024-01-16,No,Winter,Holiday
2024-01-17,No,Spring,Normal
2024-01-18,No,Winter,Normal
2024-01-19,No,Winter,Normal
2024-01-20,Yes,Winter,Normal
2024-01-21,Yes,Spring,Normal
2024-01-22,No,Spring,Normal
2024-01-23,No,Winter,Normal
2024-01-24,No,Winter,Festival
2024-01-25,No,Winter,Normal
2024-01-26,No,Spring,Normal
2024-01-27,Yes,Winter,Normal
2024-01-28,Yes,Spring,Normal
2024-01-29,No,Spring,Normal
2024-01-30,No,Winter,Normal
2024-01-31,No,Spring,Normal
2024-02-01,No,Spring,Normal
2024-02-02,No,Winter,Normal
2024-02-03,Yes,Spring,Normal
2024-02-04,Yes,Winter,Normal
2024-02-05,No,Spring,Holiday
2024-02-06,No,Winter,Normal
2024-02-07,No,Winter,Normal
2024-02-08,No,Spring,Normal
2024-02-09,No,Winter,Normal
2024-02-10,Yes,Spring,Holiday
2024-02-11,Yes,Winter,Normal
2024-02-12,No,Winter,Normal
2024-02-13,No,Winter,Normal
2024-02-14,No,Spring,Normal
2024-02-15,No,Spring,Normal
2024-02-16,No,Spring,Normal
2024-02-17,Yes,Winter,Normal
2024-02-18,Yes,Winter,Holiday
2024-02-19,No,Spring,Normal
2024-02-20,No,Winter,Normal
2024-02-21,No,Spring,Normal
2024-02-22,No,Spring,Normal
2024-02-23,No,Spring,Normal
2024-02-24,Yes,Spring,Normal
2024-02-25,Yes,Winter,Normal
2024-02-26,No,Winter,Normal
2024-02-27,No,Spring,Normal
2024-02-28,No,Winter,Festival
2024-02-29,No,Winter,Holiday
