ProductID,Location,StockLevel,SupplierDelay(days),Warehouse,InventoryType
P0001,L01,98,5,W3,Repaired
P0001,L02,107,3,W3,Fresh
P0001,L03,18,10,W1,Fresh
P0001,L04,151,2,W3,Fresh
P0001,L05,59,5,W3,Returned
P0001,L06,69,7,W2,Returned
P0001,L07,169,10,W2,Returned
P0001,L08,18,5,W3,Repaired
P0001,L09,90,5,W2,Returned
P0001,L10,55,5,W1,Returned
P0002,L01,157,7,W3,Returned
P0002,L02,82,3,W2,Returned
P0002,L03,65,3,W1,Fresh
P0002,L04,136,2,W1,Repaired
P0002,L05,16,2,W1,Returned
P0002,L06,52,5,W1,Repaired
P0002,L07,157,5,W1,Returned
P0002,L08,32,5,W1,Returned
P0002,L09,67,3,W1,Returned
P0002,L10,80,7,W3,Fresh
P0003,L01,165,5,W3,Fresh
P0003,L02,63,10,W3,Returned
P0003,L03,112,3,W1,Fresh
P0003,L04,113,10,W3,Repaired
P0003,L05,171,7,W2,Repaired
P0003,L06,59,3,W3,Repaired
P0003,L07,100,7,W2,Repaired
P0003,L08,20,7,W3,Returned
P0003,L09,79,5,W3,Returned
P0003,L10,30,2,W2,Repaired
P0004,L01,199,2,W2,Repaired
P0004,L02,34,10,W1,Returned
P0004,L03,62,2,W2,Returned
P0004,L04,147,3,W2,Repaired
P0004,L05,74,3,W1,Returned
P0004,L06,69,5,W1,Fresh
P0004,L07,20,2,W3,Repaired
P0004,L08,63,2,W1,Returned
P0004,L09,48,2,W1,Repaired
P0004,L10,63,5,W2,Fresh
P0005,L01,124,3,W1,Returned
P0005,L02,75,10,W2,Returned
P0005,L03,95,2,W1,Returned
P0005,L04,45,7,W1,Repaired
P0005,L05,194,5,W2,Repaired
P0005,L06,98,7,W2,Fresh
P0005,L07,77,2,W3,Returned
P0005,L08,98,3,W1,Repaired
P0005,L09,176,7,W2,Returned
P0005,L10,132,5,W1,Fresh
P0006,L01,151,10,W1,Returned
P0006,L02,32,7,W3,Returned
P0006,L03,172,5,W2,Returned
P0006,L04,199,2,W3,Repaired
P0006,L05,50,3,W3,Returned
P0006,L06,55,5,W1,Fresh
